"id";"indicator_id";"measure1_id";"measure2_id";"unit_id";"obs_val";"date";"periodicity"
335904;7;"";12;3;91134.7;"2023-11-01T00:00:00";"month"
335905;8;"";24;3;403.8;"2023-11-01T00:00:00";"month"
335906;8;"";25;3;10643.5;"2023-11-01T00:00:00";"month"
335939;8;"";12;3;106827.8;"2023-12-01T00:00:00";"month"
335943;7;"";20;3;3610.3;"2023-12-01T00:00:00";"month"
335944;7;"";21;3;15198.1;"2023-12-01T00:00:00";"month"
335945;7;"";22;3;25855.1;"2023-12-01T00:00:00";"month"
335964;7;"";20;3;1778.9;"2021-03-01T00:00:00";"month"
335965;7;"";21;3;7914.8;"2021-03-01T00:00:00";"month"
335966;7;"";22;3;16326.7;"2021-03-01T00:00:00";"month"
335967;7;"";12;3;83955.9;"2023-03-01T00:00:00";"month"
336110;7;"";19;3;35897.0;"2022-02-01T00:00:00";"month"
336112;8;"";23;3;65310.3;"2022-02-01T00:00:00";"month"
336113;7;"";12;3;65310.3;"2022-02-01T00:00:00";"month"
336114;8;"";24;3;455.3;"2022-02-01T00:00:00";"month"
336115;8;"";25;3;11355.6;"2022-02-01T00:00:00";"month"
336116;8;"";26;3;6867.8;"2022-02-01T00:00:00";"month"
336117;8;"";27;3;5.7;"2022-02-01T00:00:00";"month"
336118;8;"";12;3;83994.8;"2022-02-01T00:00:00";"month"
336122;7;"";20;3;2169.0;"2022-02-01T00:00:00";"month"
336123;7;"";21;3;9884.9;"2022-02-01T00:00:00";"month"
336124;7;"";22;3;17359.4;"2022-02-01T00:00:00";"month"
336186;7;"";19;3;37248.3;"2022-03-01T00:00:00";"month"
336188;8;"";23;3;66659.7;"2022-03-01T00:00:00";"month"
336189;7;"";12;3;66659.7;"2022-03-01T00:00:00";"month"
336190;8;"";24;3;555.1;"2022-03-01T00:00:00";"month"
336191;8;"";25;3;11757.1;"2022-03-01T00:00:00";"month"
336192;8;"";26;3;6657.6;"2022-03-01T00:00:00";"month"
336193;8;"";27;3;5.7;"2022-03-01T00:00:00";"month"
336194;8;"";12;3;85635.2;"2022-03-01T00:00:00";"month"
336198;7;"";20;3;2169.2;"2022-03-01T00:00:00";"month"
336199;7;"";21;3;10181.5;"2022-03-01T00:00:00";"month"
336200;7;"";22;3;17060.7;"2022-03-01T00:00:00";"month"
336203;7;"";19;3;34872.8;"2022-04-01T00:00:00";"month"
336309;8;"";26;3;3818.9;"2023-11-01T00:00:00";"month"
336310;8;"";27;3;4.2;"2023-11-01T00:00:00";"month"
336311;8;"";12;3;106005.1;"2023-11-01T00:00:00";"month"
336315;7;"";20;3;3366.7;"2023-11-01T00:00:00";"month"
336316;7;"";21;3;14658.3;"2023-11-01T00:00:00";"month"
336317;7;"";22;3;24479.7;"2023-11-01T00:00:00";"month"
336320;7;"";19;3;47883.4;"2023-12-01T00:00:00";"month"
336322;8;"";23;3;92546.9;"2023-12-01T00:00:00";"month"
336323;7;"";12;3;92546.9;"2023-12-01T00:00:00";"month"
336324;8;"";24;3;366.5;"2023-12-01T00:00:00";"month"
336325;8;"";25;3;10258.7;"2023-12-01T00:00:00";"month"
336326;8;"";26;3;3651.4;"2023-12-01T00:00:00";"month"
336327;8;"";27;3;4.2;"2023-12-01T00:00:00";"month"
336352;8;"";24;3;449.1;"2021-03-01T00:00:00";"month"
336353;8;"";25;3;10134.8;"2021-03-01T00:00:00";"month"
336354;8;"";26;3;6632.2;"2021-03-01T00:00:00";"month"
336408;8;"";23;3;90110.9;"2023-09-01T00:00:00";"month"
336409;7;"";12;3;90110.9;"2023-09-01T00:00:00";"month"
336410;8;"";24;3;395.5;"2023-09-01T00:00:00";"month"
336411;8;"";25;3;10876.8;"2023-09-01T00:00:00";"month"
336412;8;"";26;3;4058.7;"2023-09-01T00:00:00";"month"
336413;8;"";27;3;4.3;"2023-09-01T00:00:00";"month"
336414;8;"";12;3;105446.2;"2023-09-01T00:00:00";"month"
336418;7;"";20;3;3378.5;"2023-09-01T00:00:00";"month"
336419;7;"";21;3;14542.7;"2023-09-01T00:00:00";"month"
336420;7;"";22;3;22478.9;"2023-09-01T00:00:00";"month"
336421;7;"";19;3;48984.6;"2023-10-01T00:00:00";"month"
336423;8;"";23;3;90597.3;"2023-10-01T00:00:00";"month"
336424;7;"";12;3;90597.3;"2023-10-01T00:00:00";"month"
336425;8;"";25;3;11015.1;"2023-10-01T00:00:00";"month"
336426;8;"";26;3;4048.8;"2023-10-01T00:00:00";"month"
336427;8;"";27;3;4.3;"2023-10-01T00:00:00";"month"
336428;8;"";12;3;106149.3;"2023-10-01T00:00:00";"month"
336433;7;"";20;3;3268.0;"2023-10-01T00:00:00";"month"
336434;7;"";21;3;14834.6;"2023-10-01T00:00:00";"month"
336435;7;"";22;3;23510.2;"2023-10-01T00:00:00";"month"
336436;8;"";24;3;483.7;"2023-10-01T00:00:00";"month"
