"date";"periodicity";"title";"m1";"m2";"value";"dim"
"2023-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.13;"% годовых"
"2023-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";0.91;"% годовых"
"2023-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
